time,rec-q-can.CVL.V,rec-q-can.CCL.A,rec-q-can.DVL.V,rec-q-can.DCL.A,rec-q-can.SOC.%,rec-q-can.SOH.%,rec-q-can.SOC_HR.%,rec-q-can.Battery Voltage.V,rec-q-can.Battery Current.A,rec-q-can.Battery Temp.C,rec-q-can.Min Cell Voltage.V,rec-q-can.Max Cell Voltage.V,rec-q-can.Min Temperature.C,rec-q-can.Max Temperature.C,rec-q-can.Rated Capacity.AH,rec-q-can.Remaining Capacity.AH,rec-q-can.Warning Bits.binary,rec-q-can.Alarm Bits.binary
2022-06-11 05:20:26.387010,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.2,27.5,3.377,3.396,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:27.389273,28.1,279.9,23.1,279.9,91,100,0.0,27.09,64.0,27.5,3.368,3.399,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:28.392472,28.1,279.9,23.1,279.9,91,100,0.0,27.09,64.0,27.5,3.368,3.399,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:29.395738,28.1,279.9,23.1,279.9,91,100,0.0,27.09,64.0,27.5,3.368,3.399,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:30.399110,28.1,279.9,23.1,279.9,91,100,0.0,27.09,64.5,27.5,3.368,3.399,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:31.402845,28.1,279.9,23.1,279.9,91,100,0.0,27.1,64.6,27.5,3.371,3.399,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:32.405034,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.5,27.5,3.371,3.399,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:33.408354,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.3,27.5,3.371,3.399,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:34.412148,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.3,27.5,3.377,3.401,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:35.415322,28.1,279.9,23.1,279.9,91,100,0.0,27.1,64.5,27.5,3.377,3.401,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:36.417992,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.1,27.5,3.377,3.401,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:37.420678,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.1,27.5,3.377,3.396,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:38.423396,28.1,279.9,23.1,279.9,91,100,0.0,27.1,64.4,27.5,3.377,3.396,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:39.426675,28.1,279.9,23.1,279.9,91,100,0.0,27.1,64.4,27.5,3.377,3.396,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:40.429816,28.1,279.9,23.1,279.9,91,100,0.0,27.08,63.8,27.5,3.375,3.395,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:41.432958,28.1,279.9,23.1,279.9,91,100,0.0,27.09,64.0,27.5,3.375,3.395,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:42.435840,28.1,279.9,23.1,279.9,91,100,0.0,27.09,64.0,27.5,3.375,3.395,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:43.438036,28.1,279.9,23.1,279.9,91,100,0.0,27.08,63.9,27.5,3.375,3.395,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:44.441196,28.1,279.9,23.1,279.9,91,100,0.0,27.09,64.4,27.5,3.374,3.399,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:45.444491,28.1,279.9,23.1,279.9,91,100,0.0,27.1,64.1,27.5,3.374,3.399,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:46.447667,28.1,279.9,23.1,279.9,91,100,0.0,27.1,64.1,27.5,3.374,3.399,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:47.450717,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.3,27.5,3.377,3.401,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:48.452889,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.6,27.5,3.377,3.401,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:49.455440,28.1,279.9,23.1,279.9,91,100,0.0,27.09,65.0,27.5,3.377,3.401,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:50.458082,28.1,279.9,23.1,279.9,91,100,0.0,27.09,65.0,27.5,3.371,3.399,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:51.461354,28.1,279.9,23.1,279.9,91,100,0.0,27.09,64.9,27.5,3.371,3.399,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:52.464593,28.1,279.9,23.1,279.9,91,100,0.0,27.09,64.9,27.5,3.371,3.399,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:53.467171,28.1,279.9,23.1,279.9,91,100,0.0,27.09,65.1,27.5,3.371,3.399,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:54.470538,28.1,279.9,23.1,279.9,91,100,0.0,27.09,65.1,27.5,3.371,3.399,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
