time,ut61e.Cell_Voltage.V
2022-03-09 01:22:08.428699,3.4090000000000003
2022-03-09 01:22:09.431408,3.41
2022-03-09 01:22:10.434113,3.41
2022-03-09 01:22:11.436855,3.41
2022-03-09 01:22:12.439492,3.41
2022-03-09 01:22:13.441720,3.41
2022-03-09 01:22:14.443903,3.4090000000000003
2022-03-09 01:22:15.446454,3.41
2022-03-09 01:22:16.449217,3.4090000000000003
2022-03-09 01:22:17.451969,3.41
2022-03-09 01:22:18.454746,3.41
2022-03-09 01:22:19.457528,3.41
2022-03-09 01:22:20.459954,3.41
2022-03-09 01:22:21.462616,3.41
2022-03-09 01:22:22.465490,3.41
2022-03-09 01:22:23.468221,3.41
2022-03-09 01:22:24.470962,3.41
2022-03-09 01:22:25.473595,3.4090000000000003
2022-03-09 01:22:26.475988,3.41
2022-03-09 01:22:27.478482,3.41
2022-03-09 01:22:28.481372,3.41
2022-03-09 01:22:29.484180,3.41
2022-03-09 01:22:30.487049,3.41
2022-03-09 01:22:31.489919,3.41
2022-03-09 01:22:32.492790,3.41
2022-03-09 01:22:33.495715,3.41
2022-03-09 01:22:34.498534,3.41
2022-03-09 01:22:35.501440,3.41
2022-03-09 01:22:36.504284,3.41
2022-03-09 01:22:37.507195,3.41
2022-03-09 01:22:38.509387,3.41
2022-03-09 01:22:39.511520,3.41
2022-03-09 01:22:40.513978,3.41
2022-03-09 01:22:41.516791,3.41
2022-03-09 01:22:42.519545,3.41
2022-03-09 01:22:43.522275,3.41
2022-03-09 01:22:44.524932,3.41
2022-03-09 01:22:45.527631,3.41
2022-03-09 01:22:46.530551,3.41
2022-03-09 01:22:47.533227,3.41
2022-03-09 01:22:48.535952,3.41
2022-03-09 01:22:49.538566,3.41
2022-03-09 01:22:50.541327,3.41
2022-03-09 01:22:51.543625,3.41
2022-03-09 01:22:52.545772,3.41
2022-03-09 01:22:53.548248,3.41
2022-03-09 01:22:54.551196,3.41
2022-03-09 01:22:55.553525,3.41
2022-03-09 01:22:56.556362,3.41
2022-03-09 01:22:57.559177,3.41
2022-03-09 01:22:58.562001,3.41
2022-03-09 01:22:59.564745,3.41
2022-03-09 01:23:00.567067,3.41
2022-03-09 01:23:01.569867,3.41
2022-03-09 01:23:02.572783,3.41
2022-03-09 01:23:03.575460,3.41
2022-03-09 01:23:04.577730,3.41
2022-03-09 01:23:05.579833,3.41
2022-03-09 01:23:06.582468,3.41
2022-03-09 01:23:07.585231,3.41
2022-03-09 01:23:08.588029,3.41
2022-03-09 01:23:09.590826,3.41
2022-03-09 01:23:10.593139,3.41
2022-03-09 01:23:11.596021,3.41
2022-03-09 01:23:12.598743,3.41
2022-03-09 01:23:13.601609,3.41
2022-03-09 01:23:14.604583,3.41
2022-03-09 01:23:15.606952,3.41
2022-03-09 01:23:16.609452,3.41
2022-03-09 01:23:17.611754,3.41
2022-03-09 01:23:18.613965,3.41
2022-03-09 01:23:19.616717,3.41
2022-03-09 01:23:20.619363,3.41
2022-03-09 01:23:21.622036,3.41
2022-03-09 01:23:22.624681,3.41
2022-03-09 01:23:23.627337,3.41
2022-03-09 01:23:24.630134,3.41
2022-03-09 01:23:25.632944,3.41
2022-03-09 01:23:26.635700,3.41
2022-03-09 01:23:27.638355,3.41
2022-03-09 01:23:28.641105,3.41
2022-03-09 01:23:29.643504,3.41
2022-03-09 01:23:30.645830,3.41
2022-03-09 01:23:31.648100,3.41
2022-03-09 01:23:32.650819,3.41
2022-03-09 01:23:33.653454,3.41
2022-03-09 01:23:34.656201,3.411
2022-03-09 01:23:35.658381,3.41
2022-03-09 01:23:36.660992,3.41
2022-03-09 01:23:37.663744,3.41
2022-03-09 01:23:38.666465,3.41
2022-03-09 01:23:39.669177,3.41
2022-03-09 01:23:40.671636,3.41
2022-03-09 01:23:41.674382,3.41
2022-03-09 01:23:42.676678,3.41
2022-03-09 01:23:43.678782,3.41
2022-03-09 01:23:44.681171,3.41
2022-03-09 01:23:45.683245,3.41
2022-03-09 01:23:46.686102,3.41
2022-03-09 01:23:47.689043,3.411
2022-03-09 01:23:48.691919,3.41
2022-03-09 01:23:49.694751,3.41
2022-03-09 01:23:50.697120,3.41
2022-03-09 01:23:51.700111,3.411
2022-03-09 01:23:52.703064,3.41
2022-03-09 01:23:53.705967,3.411
2022-03-09 01:23:54.708612,3.41
2022-03-09 01:23:55.710797,3.41
2022-03-09 01:23:56.712896,3.41
2022-03-09 01:23:57.715483,3.411
2022-03-09 01:23:58.718283,3.411
2022-03-09 01:23:59.721205,3.41
2022-03-09 01:24:00.724032,3.411
2022-03-09 01:24:01.726995,3.411
2022-03-09 01:24:02.729923,3.411
2022-03-09 01:24:03.732798,3.411
2022-03-09 01:24:04.735615,3.411
2022-03-09 01:24:05.738117,3.411
2022-03-09 01:24:06.740875,3.411
2022-03-09 01:24:07.743494,3.411
2022-03-09 01:24:08.745737,3.411
2022-03-09 01:24:09.747916,3.411
2022-03-09 01:24:10.750057,3.411
2022-03-09 01:24:11.752700,3.411
2022-03-09 01:24:12.755604,3.411
2022-03-09 01:24:13.758460,3.411
2022-03-09 01:24:14.760742,3.411
2022-03-09 01:24:15.762831,3.411
2022-03-09 01:24:16.765606,3.411
2022-03-09 01:24:17.768538,3.411
2022-03-09 01:24:18.771446,3.411
2022-03-09 01:24:19.774336,3.411
2022-03-09 01:24:20.776620,3.411
2022-03-09 01:24:21.779038,3.411
2022-03-09 01:24:22.781345,3.411
2022-03-09 01:24:23.784150,3.411
2022-03-09 01:24:24.786888,3.411
2022-03-09 01:24:25.789751,3.411
2022-03-09 01:24:26.792196,3.411
2022-03-09 01:24:27.794773,3.411
2022-03-09 01:24:28.797177,3.411
2022-03-09 01:24:29.799854,3.411
2022-03-09 01:24:30.802529,3.411
2022-03-09 01:24:31.805152,3.411
2022-03-09 01:24:32.807797,3.411
2022-03-09 01:24:33.809958,3.411
2022-03-09 01:24:34.812358,3.411
2022-03-09 01:24:35.814909,3.411
2022-03-09 01:24:36.817637,3.411
2022-03-09 01:24:37.819952,3.411
2022-03-09 01:24:38.822674,3.411
2022-03-09 01:24:39.825485,3.411
2022-03-09 01:24:40.827789,3.411
2022-03-09 01:24:41.830061,3.411
2022-03-09 01:24:42.832272,3.411
2022-03-09 01:24:43.834417,3.411
2022-03-09 01:24:44.836970,3.411
2022-03-09 01:24:45.839180,3.411
2022-03-09 01:24:46.841533,3.411
2022-03-09 01:24:47.843706,3.411
2022-03-09 01:24:48.846175,3.411
2022-03-09 01:24:49.848953,3.411
2022-03-09 01:24:50.851626,3.411
2022-03-09 01:24:51.854432,3.411
2022-03-09 01:24:52.856995,3.411
2022-03-09 01:24:53.859356,3.411
2022-03-09 01:24:54.861565,3.411
2022-03-09 01:24:55.863941,3.411
2022-03-09 01:24:56.866295,3.411
2022-03-09 01:24:57.868602,3.411
2022-03-09 01:24:58.871017,3.411
2022-03-09 01:24:59.873413,3.411
2022-03-09 01:25:00.875682,3.411
2022-03-09 01:25:01.877871,3.411
2022-03-09 01:25:02.880056,3.411
2022-03-09 01:25:03.882383,3.411
2022-03-09 01:25:04.884903,3.411
2022-03-09 01:25:05.887432,3.411
2022-03-09 01:25:06.889789,3.411
2022-03-09 01:25:07.892354,3.411
2022-03-09 01:25:08.894375,3.411
2022-03-09 01:25:09.896847,3.411
2022-03-09 01:25:10.899061,3.411
2022-03-09 01:25:11.901138,3.411
2022-03-09 01:25:12.903334,3.411
2022-03-09 01:25:13.905662,3.411
2022-03-09 01:25:14.908160,3.411
2022-03-09 01:25:15.910527,3.411
2022-03-09 01:25:16.912864,3.411
2022-03-09 01:25:17.915296,3.411
2022-03-09 01:25:18.917859,3.411
2022-03-09 01:25:19.920166,3.411
2022-03-09 01:25:20.922688,3.411
2022-03-09 01:25:21.925190,3.411
2022-03-09 01:25:22.927727,3.411
2022-03-09 01:25:23.929794,3.411
2022-03-09 01:25:24.932008,3.411
2022-03-09 01:25:25.934408,3.411
2022-03-09 01:25:26.936634,3.411
2022-03-09 01:25:27.939374,3.411
2022-03-09 01:25:28.941818,3.411
2022-03-09 01:25:29.944603,3.411
2022-03-09 01:25:30.947112,3.411
2022-03-09 01:25:31.949942,3.411
2022-03-09 01:25:32.952888,3.412
2022-03-09 01:25:33.955848,3.411
2022-03-09 01:25:34.958788,3.412
2022-03-09 01:25:35.961560,3.411
2022-03-09 01:25:36.964317,3.412
2022-03-09 01:25:37.966586,3.412
2022-03-09 01:25:38.968879,3.412
2022-03-09 01:25:39.971391,3.412
2022-03-09 01:25:40.974360,3.412
2022-03-09 01:25:41.977031,3.412
2022-03-09 01:25:42.979397,3.412
2022-03-09 01:25:43.982212,3.411
2022-03-09 01:25:44.985227,3.412
2022-03-09 01:25:45.987707,3.411
2022-03-09 01:25:46.990294,3.412
2022-03-09 01:25:47.992831,3.412
2022-03-09 01:25:48.995243,3.412
2022-03-09 01:25:49.997938,3.412
2022-03-09 01:25:51.000327,3.412
2022-03-09 01:25:52.002780,3.412
2022-03-09 01:25:53.005041,3.412
2022-03-09 01:25:54.007838,3.411
2022-03-09 01:25:55.010859,3.411
2022-03-09 01:25:56.013841,3.412
2022-03-09 01:25:57.016732,3.412
2022-03-09 01:25:58.019317,3.412
2022-03-09 01:25:59.022079,3.412
2022-03-09 01:26:00.024933,3.412
2022-03-09 01:26:01.027697,3.412
2022-03-09 01:26:02.030509,3.412
2022-03-09 01:26:03.033049,3.412
2022-03-09 01:26:04.035191,3.412
2022-03-09 01:26:05.037712,3.412
2022-03-09 01:26:06.040692,3.412
2022-03-09 01:26:07.043516,3.412
2022-03-09 01:26:08.046234,3.411
2022-03-09 01:26:09.048722,3.412
2022-03-09 01:26:10.051281,3.412
2022-03-09 01:26:11.053633,3.412
2022-03-09 01:26:12.056575,3.412
2022-03-09 01:26:13.059227,3.412
2022-03-09 01:26:14.061661,3.412
2022-03-09 01:26:15.064336,3.412
2022-03-09 01:26:16.066454,3.412
2022-03-09 01:26:17.068778,3.412
2022-03-09 01:26:18.071193,3.412
2022-03-09 01:26:19.073564,3.412
2022-03-09 01:26:20.076224,3.412
2022-03-09 01:26:21.078607,3.412
2022-03-09 01:26:22.081616,3.412
2022-03-09 01:26:23.084694,3.412
2022-03-09 01:26:24.086915,3.412
2022-03-09 01:26:25.089529,3.412
2022-03-09 01:26:26.091840,3.412
2022-03-09 01:26:27.094649,3.412
2022-03-09 01:26:28.097380,3.412
2022-03-09 01:26:29.099586,3.412
2022-03-09 01:26:30.101810,3.412
2022-03-09 01:26:31.104214,3.412
2022-03-09 01:26:32.106977,3.412
