time,rec-q-can.CVL.V,rec-q-can.CCL.A,rec-q-can.DVL.V,rec-q-can.DCL.A,rec-q-can.SOC.%,rec-q-can.SOH.%,rec-q-can.SOC_HR.%,rec-q-can.Battery Voltage.V,rec-q-can.Battery Current.A,rec-q-can.Battery Temp.C,rec-q-can.Min Cell Voltage.V,rec-q-can.Max Cell Voltage.V,rec-q-can.Min Temperature.C,rec-q-can.Max Temperature.C,rec-q-can.Rated Capacity.AH,rec-q-can.Remaining Capacity.AH,rec-q-can.Warning Bits.binary,rec-q-can.Alarm Bits.binary,ws-can.CVT.V,ws-can.CCT.A,ws-can.CV.V,ws-can.Alternator Temperature.C,ws-can.Alternator Speed.RPM,ws-can.Engine Speed.RPM,ws-can.Field Drive.%
2023-03-06 14:05:10.289571,27.6,279.9,23.1,279.9,92,100,0.0,26.71,41.0,27.0,3.33,3.347,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:11.292667,27.6,279.9,23.1,279.9,92,100,0.0,26.7,41.1,27.0,3.332,3.345,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:12.295578,27.6,279.9,23.1,279.9,92,100,0.0,26.7,41.1,27.0,3.332,3.345,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:13.298451,27.6,279.9,23.1,279.9,92,100,0.0,26.7,41.1,27.0,3.332,3.345,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:14.301427,27.6,279.9,23.1,279.9,92,100,0.0,26.7,40.3,27.0,3.33,3.345,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:15.304281,27.6,279.9,23.1,279.9,92,100,0.0,26.7,40.3,27.0,3.33,3.345,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:16.307591,27.6,279.9,23.1,279.9,92,100,0.0,26.7,40.3,27.0,3.33,3.345,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:17.310850,27.6,279.9,23.1,279.9,92,100,0.0,26.7,40.3,27.0,3.33,3.345,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:18.313868,27.6,279.9,23.1,279.9,92,100,0.0,26.72,40.6,27.0,3.329,3.348,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:19.316652,27.6,279.9,23.1,279.9,92,100,0.0,26.71,40.5,27.0,3.329,3.348,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:20.319543,27.6,279.9,23.1,279.9,92,100,0.0,26.72,40.6,27.0,3.329,3.348,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:21.322521,27.6,279.9,23.1,279.9,92,100,0.0,26.72,40.6,27.0,3.329,3.348,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:22.325470,27.6,279.9,23.1,279.9,92,100,0.0,26.72,40.6,27.0,3.329,3.348,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:23.328644,27.6,279.9,23.1,279.9,92,100,0.0,26.72,40.7,27.0,3.329,3.348,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:24.331658,27.6,279.9,23.1,279.9,92,100,0.0,26.72,40.7,27.0,3.332,3.348,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:25.334565,27.6,279.9,23.1,279.9,92,100,0.0,26.72,40.7,27.0,3.332,3.348,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:26.337471,27.6,279.9,23.1,279.9,92,100,0.0,26.72,40.7,27.0,3.332,3.348,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:27.340391,27.6,279.9,23.1,279.9,92,100,0.0,26.72,40.7,27.0,3.333,3.345,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:28.343300,27.6,279.9,23.1,279.9,92,100,0.0,26.73,40.9,27.0,3.333,3.345,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:29.346450,27.6,279.9,23.1,279.9,92,100,0.0,26.73,40.9,27.0,3.333,3.345,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:30.349463,27.6,279.9,23.1,279.9,92,100,0.0,26.72,41.2,27.0,3.333,3.347,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:31.352365,27.6,279.9,23.1,279.9,92,100,0.0,26.73,41.0,27.0,3.333,3.347,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:32.355178,27.6,279.9,23.1,279.9,92,100,0.0,26.73,41.0,27.0,3.333,3.347,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:33.358137,27.6,279.9,23.1,279.9,92,100,0.0,26.73,41.1,27.0,3.333,3.347,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:34.361194,27.6,279.9,23.1,279.9,92,100,0.0,26.72,41.3,27.0,3.336,3.348,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:35.364164,27.6,279.9,23.1,279.9,92,100,0.0,26.73,40.7,27.0,3.336,3.348,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:36.367248,27.6,279.9,23.1,279.9,92,100,0.0,26.73,40.9,27.0,3.336,3.348,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:37.370190,27.6,279.9,23.1,279.9,92,100,0.0,26.73,40.9,27.0,3.335,3.348,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:38.373009,27.6,279.9,23.1,279.9,92,100,0.0,26.73,40.8,27.0,3.335,3.348,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
